id,region,name,category,url,strict-transport-security,x-frame-options,x-content-type-options,content-security-policy,x-permitted-cross-domain-policies,referrer-policy,clear-site-data,cross-origin-embedder-policy,cross-origin-opener-policy,cross-origin-resource-policy,cache-control
2,Baden-Württemberg,U Heidelberg in Heidelberg,Public,www.uni-heidelberg.de,True,True,False,False,False,False,False,False,False,False,True
1,Baden-Württemberg,U Freiburg i.Br.,Public,www.uni-freiburg.de,True,True,True,True,False,False,False,False,False,False,True
3,Baden-Württemberg,U Hohenheim,Public,www.uni-hohenheim.de,False,False,True,False,False,False,False,False,False,False,True
6,Baden-Württemberg,U Stuttgart,Public,www.uni-stuttgart.de,True,False,False,False,False,False,False,False,False,False,True
7,Baden-Württemberg,U Tübingen,Public,www.uni-tuebingen.de,False,False,False,False,False,False,False,False,False,False,False
8,Baden-Württemberg,U Ulm,Public,www.uni-ulm.de,True,False,True,False,False,False,False,False,False,False,True
4,Baden-Württemberg,Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U),Public,www.kit.edu,True,False,True,False,False,False,False,False,False,False,True
10,Baden-Württemberg,"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (U)",Private,www.freie-hochschule-stuttgart.de,False,False,False,False,False,False,False,False,False,False,True
11,Bayern,U Augsburg,Public,www.uni-augsburg.de,True,False,False,False,False,False,False,False,False,False,False
5,Baden-Württemberg,U Konstanz,Public,www.uni-konstanz.de,False,False,True,True,False,False,False,False,False,False,True
9,Baden-Württemberg,Zeppelin Universität Friedrichshafen (U),Private,www.zu.de,True,True,True,True,False,True,False,False,False,False,True
13,Bayern,U Bayreuth,Public,www.uni-bayreuth.de,True,True,True,True,False,True,False,False,False,False,True
15,Bayern,U Erlangen-Nürnberg in Erlangen,Public,www.fau.de,False,False,False,False,False,False,False,False,False,False,True
14,Bayern,Kath. U Eichstätt-Ingolstadt in Ingolstadt (U),Private,www.ku.de,False,False,True,False,False,False,False,False,False,False,True
12,Bayern,U Bamberg,Public,www.uni-bamberg.de,True,True,True,True,False,True,False,False,False,False,True
19,Bayern,U Regensburg,Public,www.uni-regensburg.de,True,True,True,False,False,True,False,False,False,False,True
16,Bayern,U München,Public,www.lmu.de,True,False,False,False,False,False,False,False,False,False,False
18,Bayern,U Passau,Public,www.uni-passau.de,True,True,True,False,False,True,False,False,False,False,True
20,Bayern,U Würzburg,Public,www.uni-wuerzburg.de,False,False,True,False,False,False,False,False,False,False,True
21,Berlin,FU Berlin,Public,www.fu-berlin.de,False,False,False,False,False,False,False,False,False,False,True
17,Bayern,TU München,Public,www.tum.de,False,True,True,False,False,False,False,False,False,False,True
22,Berlin,TU Berlin,Public,www.tu.berlin,True,True,True,True,False,True,False,False,False,False,False
23,Berlin,Humboldt-Universität Berlin,Public,www.hu-berlin.de,True,True,True,True,False,False,False,False,False,False,False
25,Berlin,International Psychoanalytic University Berlin (U),Private,www.ipu-berlin.de,False,False,True,False,False,False,False,False,False,False,True
26,Berlin,Psychologische Hochschule Berlin (U),Private,www.psychologische-hochschule.de,False,False,False,False,False,False,False,False,False,False,False
24,Berlin,ESCP Europe Wirtschaftshochschule Berlin (U),Private,www.escp.eu,False,True,True,False,False,False,False,False,False,False,True
30,Brandenburg,U Potsdam,Public,www.uni-potsdam.de,False,False,False,False,False,False,False,False,False,False,True
27,Berlin,"Bard College Berlin, A Liberal Arts University (U)",Private,www.berlin.bard.edu,True,True,True,False,False,False,False,False,False,False,False
28,Brandenburg,Brandenburgische TU Cottbus-Senftenberg,Public,www.b-tu.de,True,False,True,False,False,False,False,False,False,False,True
34,Bremen,Jacobs University Bremen (U),Private,www.jacobs-university.de,False,False,False,False,False,False,False,False,False,False,True
33,Bremen,U Bremen,Public,www.uni-bremen.de,True,True,True,False,False,False,False,False,False,False,True
32,Brandenburg,Filmuniversität Babelsberg,Public,www.filmuniversitaet.de,False,False,True,False,False,False,False,False,False,False,True
36,Hamburg,Technische Universität Hamburg,Public,www.tuhh.de,True,False,False,False,False,False,False,False,False,False,True
29,Brandenburg,Europa-U Viadrina Frankfurt (Oder),Public,www.europa-uni.de,False,False,False,False,False,False,False,False,False,False,False
35,Hamburg,U Hamburg,Public,www.uni-hamburg.de,True,True,True,False,True,True,False,False,False,False,True
37,Hamburg,Hafencity Universität Hamburg,Public,www.hcu-hamburg.de,False,False,True,False,False,False,False,False,False,False,True
31,Brandenburg,Medizinische Hochschule Brandenburg in Neuruppin (U),Private,www.mhb-fontane.de,False,False,False,False,False,True,False,False,False,False,True
39,Hamburg,KLU Kühne Logistics University (U),Private,www.the-klu.org,False,False,True,False,False,False,False,False,False,False,True
40,Hessen,TU Darmstadt,Public,www.tu-darmstadt.de,True,True,False,False,False,False,False,False,False,False,False
42,Hessen,U Gießen,Public,www.uni-giessen.de,False,False,False,False,False,False,False,False,False,False,False
43,Hessen,U Kassel in Kassel,Public,www.uni-kassel.de,False,False,False,False,False,False,False,False,False,False,False
44,Hessen,U Marburg,Public,www.uni-marburg.de,True,False,True,True,False,True,False,False,False,False,False
45,Hessen,Frankfurt School of Finance & Management-HfB (U),Private,www.frankfurt-school.de,False,False,False,False,False,False,False,False,False,False,False
46,Hessen,EBS U für Wirtschaft und Recht in Wiesbaden (U),Private,www.ebs.edu,True,False,True,False,False,False,False,False,False,False,False
41,Hessen,U Frankfurt a.M.,Public,www.uni-frankfurt.de,True,False,True,True,False,True,False,False,False,False,True
48,Mecklenburg-Vorpommern,U Rostock,Public,www.uni-rostock.de,True,False,True,False,False,True,False,False,False,False,False
47,Mecklenburg-Vorpommern,U Greifswald,Public,www.uni-greifswald.de,True,False,True,True,False,True,False,False,False,False,False
49,Niedersachsen,TU Braunschweig,Public,www.tu-braunschweig.de,True,False,True,False,True,True,False,False,False,False,True
50,Niedersachsen,TU Clausthal,Public,www.tu-clausthal.de,False,False,True,False,False,False,False,False,False,False,True
38,Hamburg,Bucerius Law School Hamburg (U),Private,www.law-school.de,True,False,True,False,False,False,False,False,False,False,True
52,Niedersachsen,U Hannover,Public,www.uni-hannover.de,False,True,True,False,False,False,False,False,False,False,True
51,Niedersachsen,U Göttingen,Public,www.uni-goettingen.de,True,True,False,False,False,False,False,False,False,False,True
53,Niedersachsen,Tierärztliche H Hannover (U),Public,www.tiho-hannover.de,False,False,True,False,False,False,False,False,False,False,True
54,Niedersachsen,U Hildesheim,Public,www.uni-hildesheim.de,True,False,False,False,False,False,False,False,False,False,True
56,Niedersachsen,U Oldenburg,Public,www.uol.de,True,True,True,False,False,True,False,False,False,False,True
57,Niedersachsen,U Osnabrück,Public,www.uni-osnabrueck.de,False,False,False,False,False,False,False,False,False,False,False
55,Niedersachsen,U Lüneburg,Public,www.leuphana.de,True,True,False,False,False,False,False,False,False,False,False
59,Nordrhein-Westfalen,TH Aachen (U),Public,www.rwth-aachen.de,True,True,False,True,False,False,False,False,False,False,True
61,Nordrhein-Westfalen,U Bochum,Public,www.ruhr-uni-bochum.de,False,False,False,False,False,False,False,False,False,False,False
62,Nordrhein-Westfalen,U Bonn,Public,www.uni-bonn.de,True,True,False,True,False,False,False,False,False,False,True
64,Nordrhein-Westfalen,U Düsseldorf,Public,www.hhu.de,False,False,False,False,False,False,False,False,False,False,False
63,Nordrhein-Westfalen,TU Dortmund,Public,www.tu-dortmund.de,True,True,True,True,False,True,False,False,False,False,True
66,Nordrhein-Westfalen,U Köln,Public,uni-koeln.de,False,False,False,False,False,False,False,False,False,False,True
65,Nordrhein-Westfalen,Fernuniversität Hagen,Public,www.fernuni-hagen.de,True,False,False,False,False,False,False,False,False,False,False
67,Nordrhein-Westfalen,Deutsche Sporthochschule Köln (U),Public,www.dshs-koeln.de,True,True,True,True,False,True,False,False,False,False,False
68,Nordrhein-Westfalen,U Münster,Public,www.uni-muenster.de,False,False,False,False,False,False,False,False,False,False,False
