HEI name,Type,Region,Funding,URL,Comment
Fachhochschule Aachen,Fachhochschule,Nordrhein-Westfalen,Land,www.fh-aachen.de,x
Rheinisch-Westfälische Technische Hochschule Aachen,Universitäten,Nordrhein-Westfalen,Land,www.rwth-aachen.de,x
Hochschule Aalen - Technik und Wirtschaft,Fachhochschule,Baden-Württemberg,Land,www.hs-aalen.de,x
Hochschule Albstadt-Sigmaringen,Fachhochschule,Baden-Württemberg,Land,www.hs-albsig.de,x
Alanus Hochschule für Kunst und Gesellschaft,Kunsthochschulen,Nordrhein-Westfalen,Privat,www.alanus.edu,x
Ostbayerische Technische Hochschule Amberg-Weiden,Fachhochschule,Bayern,Land,www.oth-aw.de,x
Hochschule Anhalt - Anhalt University of Applied Sciences,Fachhochschule,Sachsen-Anhalt,Land,www.hs-anhalt.de,x
Hochschule für angewandte Wissenschaften Ansbach,Fachhochschule,Bayern,Land,www.hs-ansbach.de,x
Technische Hochschule Aschaffenburg,Fachhochschule,Bayern,Land,www.th-ab.de,x
Hochschule für angewandte Wissenschaften Augsburg - University of Applied Sciences,Fachhochschule,Bayern,Land,www.hs-augsburg.de,x
Universität Augsburg,Universitäten,Bayern,Land,www.uni-augsburg.de,x
Hochschule für Polizei Baden-Württemberg,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.hfpol-bw.de,x
Hochschule für Rechtspflege Schwetzingen,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.fh-schwetzingen.de,x
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.hs-ludwigsburg.de,x
Hochschule für öffentliche Verwaltung Kehl,Verwaltungsfachhochschulen,Baden-Württemberg,Land,www.hs-kehl.de,x
accadis Hochschule Bad Homburg,Fachhochschule,Hessen,Privat,www.accadis.com,x
Internationale Hochschule Liebenzell (IHL),Fachhochschule,Baden-Württemberg,Privat,www.ihl.eu,x
Otto-Friedrich-Universität Bamberg,Universitäten,Bayern,Land,www.uni-bamberg.de,x
Hochschule für den öffentlichen Dienst in Bayern,Verwaltungsfachhochschulen,Bayern,Land,www.fhvr.bayern.de,x
Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern,Kunsthochschulen,Bayern,Kirchlich,www.hfk-bayreuth.de,x
Universität Bayreuth,Universitäten,Bayern,Land,www.uni-bayreuth.de,x
Akkon-Hochschule,Fachhochschule,Berlin,Privat,www.akkon-hochschule.de,x
Alice Salomon Hochschule Berlin,Fachhochschule,Berlin,Land,www.ash-berlin.eu,x
bbw Hochschule,Fachhochschule,Berlin,Privat,www.bbw-hochschule.de,x
"Bard College Berlin, A Liberal Arts University",Universitäten,Berlin,Privat,www.berlin.bard.edu,x
Berliner Hochschule für Technik,Fachhochschule,Berlin,Land,www.bht-berlin.de,x
Berlin International University of Applied Sciences,Fachhochschule,Berlin,Privat,www.berlin-international.de,x
Barenboim-Said Akademie,Kunsthochschulen,Berlin,Privat,www.barenboimsaid.de,x
BSP Business and Law School - Hochschule für Management und Recht,Fachhochschule,Berlin,Privat,www.businessschool-berlin.de,x
CODE University of Applied Sciences,Fachhochschule,Berlin,Privat,code.berlin,x
Digital Business University of Applied Sciences,Fachhochschule,Berlin,Privat,dbuas.de,x
DEKRA Hochschule für Medien,Fachhochschule,Berlin,Privat,www.dekra-hochschule.de,x
DHGS Deutsche Hochschule für Gesundheit und Sport,Fachhochschule,Berlin,Privat,dhgs-hochschule.de,x
ESCP Europe Wirtschaftshochschule Berlin e.V.,Universitäten,Berlin,Privat,www.escp.eu,x
ESMT European School of Management and Technology,Universitäten,Berlin,Privat,www.esmt.org,x
Evangelische Hochschule Berlin,Fachhochschule,Berlin,Kirchlich,www.eh-berlin.de,x
Touro College Berlin,Fachhochschule,Berlin,Privat,www.touroberlin.de,x
Freie Universität Berlin,Universitäten,Berlin,Land,www.fu-berlin.de,x
Hochschule für angewandte Pädagogik,Fachhochschule,Berlin,Privat,www.hsap.de,x
Hertie School,Universitäten,Berlin,Privat,www.hertie-school.org,x
Hochschule für Musik Hanns Eisler Berlin,Kunsthochschulen,Berlin,Land,www.hfm-berlin.de,x
Hochschule für Schauspielkunst Ernst Busch,Kunsthochschulen,Berlin,Land,www.hfs-berlin.de,x
"HMKW Hochschule für Medien, Kommunikation und Wirtschaft",Fachhochschule,Berlin,Privat,www.hmkw.de,x
Hochschule für Technik und Wirtschaft Berlin,Fachhochschule,Berlin,Land,www.htw-berlin.de,x
Humboldt-Universität zu Berlin,Universitäten,Berlin,Land,www.hu-berlin.de,x
Hochschule für Wirtschaft und Recht Berlin,Fachhochschule,Berlin,Land,www.hwr-berlin.de,x
IB Hochschule für Gesundheit und Soziales,Fachhochschule,Berlin,Privat,www.ib-hochschule.de,x
International Psychoanalytic University Berlin,Universitäten,Berlin,Privat,www.ipu-berlin.de,x
Katholische Hochschule für Sozialwesen Berlin (KHSB) - Staatlich anerkannte Fachhochschule für Sozialwesen,Fachhochschule,Berlin,Kirchlich,www.khsb-berlin.de,x
Mediadesign Hochschule für Design und Informatik,Fachhochschule,Berlin,Privat,www.mediadesign.de,x
Medical School Berlin - Hochschule für Gesundheit und Medizin (MSB),Fachhochschule,Berlin,Privat,www.medicalschool-berlin.de,x
Psychologische Hochschule Berlin (PHB),Universitäten,Berlin,Privat,www.psychologische-hochschule.de,x
Quadriga Hochschule Berlin,Fachhochschule,Berlin,Privat,www.quadriga-hochschule.com,x
Steinbeis-Hochschule Berlin,Universitäten,Berlin,Privat,www.steinbeis-hochschule.de,x
SRH Berlin University of Applied Sciences,Fachhochschule,Berlin,Privat,www.srh-berlin.de,x
Technische Universität Berlin,Universitäten,Berlin,Land,www.tu.berlin,x
Universität der Künste Berlin,Kunsthochschulen,Berlin,Land,www.udk-berlin.de,x
VICTORIA | Internationale Hochschule,Fachhochschule,Berlin,Privat,www.victoria-hochschule.de,x
weißensee kunsthochschule berlin,Kunsthochschulen,Berlin,Land,www.kh-berlin.de,x
"Hochschule Biberach - Hochschule für Architektur und Bauwesen, Betriebswirtschaft und Biotechnologie",Fachhochschule,Baden-Württemberg,Land,www.hochschule-biberach.de,x
Fachhochschule Bielefeld,Fachhochschule,Nordrhein-Westfalen,Land,www.fh-bielefeld.de,x
Fachhochschule der Diakonie - Diaconia - University of Applied Sciences,Fachhochschule,Nordrhein-Westfalen,Kirchlich,www.fh-diakonie.de,x
Fachhochschule des Mittelstands (FHM),Fachhochschule,Nordrhein-Westfalen,Privat,www.fh-mittelstand.de,x
Universität Bielefeld,Universitäten,Nordrhein-Westfalen,Land,www.uni-bielefeld.de,x
Technische Hochschule Bingen,Fachhochschule,Rheinland-Pfalz,Land,www.th-bingen.de,x
EBZ Business School - University of Applied Sciences,Fachhochschule,Nordrhein-Westfalen,Privat,www.ebz-business-school.de,x
Hochschule Bochum - University of Applied Sciences,Fachhochschule,Nordrhein-Westfalen,Land,www.hochschule-bochum.de,x
Hochschule für Gesundheit - University of Applied Sciences,Fachhochschule,Nordrhein-Westfalen,Land,www.hs-gesundheit.de,x
Evangelische Hochschule Rheinland-Westfalen-Lippe,Fachhochschule,Nordrhein-Westfalen,Kirchlich,www.evh-bochum.de,x
Technische Hochschule Georg Agricola,Fachhochschule,Nordrhein-Westfalen,Privat,www.thga.de,x
Ruhr-Universität Bochum,Universitäten,Nordrhein-Westfalen,Land,www.ruhr-uni-bochum.de,x
Hochschule für Finanzwirtschaft & Management,Fachhochschule,Nordrhein-Westfalen,Privat,www.s-hochschule.de,x
"Hochschule Bonn-Rhein-Sieg, University of Applied Sciences",Fachhochschule,Nordrhein-Westfalen,Land,www.h-brs.de,x
Rheinische Friedrich-Wilhelms-Universität Bonn,Universitäten,Nordrhein-Westfalen,Land,www.uni-bonn.de,x
Fachhochschule für Finanzen Brandenburg,Verwaltungsfachhochschulen,Brandenburg,Land,fhf.brandenburg.de,x
Fachhochschule der Polizei Brandenburg,Verwaltungsfachhochschulen,Brandenburg,Land,hpolbb.de,x
Technische Hochschule Brandenburg,Fachhochschule,Brandenburg,Land,www.th-brandenburg.de,x
Hochschule für Bildende Künste Braunschweig,Kunsthochschulen,Niedersachsen,Land,www.hbk-bs.de,x
Technische Universität Carolo-Wilhelmina zu Braunschweig,Universitäten,Niedersachsen,Land,www.tu-braunschweig.de,x
APOLLON Hochschule der Gesundheitswirtschaft,Fachhochschule,Bremen,Privat,www.apollon-hochschule.de,x
Hochschule Bremen,Fachhochschule,Bremen,Land,www.hs-bremen.de,x
Hochschule für Künste Bremen,Kunsthochschulen,Bremen,Land,www.hfk-bremen.de,x
Jacobs University Bremen,Universitäten,Bremen,Privat,www.jacobs-university.de,x
Universität Bremen,Universitäten,Bremen,Land,www.uni-bremen.de,x
Hochschule für Öffentliche Verwaltung Bremen,Verwaltungsfachhochschulen,Bremen,Land,www.hfoev.bremen.de,x
Hochschule Bremerhaven,Fachhochschule,Bremen,Land,www.hs-bremerhaven.de,x
"Europäische Fachhochschule Rhein/Erft, european university of applied sciences",Fachhochschule,Nordrhein-Westfalen,Privat,www.eufh.de,x
Hochschule des Bundes für öffentliche Verwaltung,Verwaltungsfachhochschulen,Nordrhein-Westfalen,Land,www.hsbund.de,x
hochschule 21,Fachhochschule,Niedersachsen,Privat,www.hs21.de,x
Technische Universität Chemnitz,Universitäten,Sachsen,Land,www.tu-chemnitz.de,x
Technische Universität Clausthal,Universitäten,Niedersachsen,Land,www.tu-clausthal.de,x
Hochschule für angewandte Wissenschaften Coburg,Fachhochschule,Bayern,Land,www.hs-coburg.de,x
Brandenburgische Technische Universität Cottbus-Senftenberg,Universitäten,Brandenburg,Land,www.b-tu.de,x
Evangelische Hochschule Darmstadt (staatlich anerkannt)  Kirchliche Körperschaft des öffentlichen Rechts,Fachhochschule,Hessen,Kirchlich,www.eh-darmstadt.de,x
Wilhelm Büchner Hochschule - Private Fernhochschule Darmstadt,Fachhochschule,Hessen,Privat,www.wb-fernstudium.de,x
Hochschule Darmstadt,Fachhochschule,Hessen,Land,www.h-da.de,x
Technische Universität Darmstadt,Universitäten,Hessen,Land,www.tu-darmstadt.de,x
